Date,IA confirmed,ID confirmed,IA deaths,ID deaths
2020-11-20,203033,89756,2124,843
2020-11-21,206660,90833,2155,845
2020-11-22,210059,91652,2187,846
2020-11-23,211722,91652,2200,846
2020-11-24,215582,94729,2217,874
2020-11-25,218947,96503,2260,894
2020-11-26,218947,96503,2260,894
2020-11-27,223544,98491,2336,909
2020-11-28,225783,99660,2347,913
2020-11-29,227795,100288,2361,919
2020-11-30,228978,101697,2389,929
2020-12-01,230902,103302,2412,960
2020-12-02,233866,104732,2434,991
2020-12-03,236792,106450,2495,1013
2020-12-04,239691,108361,2571,1031
2020-12-05,242062,109707,2626,1032
2020-12-06,243930,109707,2637,1032
2020-12-07,244844,111892,2670,1055
2020-12-08,246237,113905,2675,1074
2020-12-09,248782,116203,2676,1103
2020-12-10,251026,118028,2676,1136
2020-12-11,253069,119609,3194,1151
2020-12-12,255009,120632,3208,1169
2020-12-13,256248,121176,3209,1175
2020-12-14,256902,122217,3269,1194
2020-12-15,258253,124019,3336,1214
2020-12-16,260227,125452,3350,1230
2020-12-17,262206,126821,3450,1257
2020-12-18,264107,128099,3450,1274
2020-12-19,264707,129066,3450,1275
2020-12-20,267144,129960,3588,1279
2020-12-21,267744,130879,3588,1299
2020-12-22,269020,132594,3651,1313
2020-12-23,271019,132594,3667,1313
2020-12-24,272444,135234,3738,1349
2020-12-25,273917,132594,3743,1313
2020-12-26,274313,132594,3743,1313
2020-12-27,274933,136217,3744,1354
2020-12-28,275473,137011,3744,1376
2020-12-29,276948,138524,3812,1393
2020-12-30,278600,139864,3822,1403
2020-12-31,280303,141074,3891,1436
2021-01-01,282434,141074,3897,1436
2021-01-02,283142,142197,3944,1448
2021-01-03,284264,142507,3944,1448
2021-01-04,284866,143305,3988,1458
2021-01-05,286679,144839,3999,1471
2021-01-06,289464,146106,4060,1488
2021-01-07,291394,147172,4065,1517
2021-01-08,293452,148258,4124,1523
2021-01-09,295111,149235,4127,1528
2021-01-10,296441,149667,4138,1534
2021-01-11,296866,150239,4139,1543
2021-01-12,296866,151273,4139,1555
2021-01-13,300279,151273,4232,1555
2021-01-14,301442,153357,4251,1555
2021-01-15,302788,154470,4257,1603
2021-01-16,304121,155276,4321,1605
2021-01-17,304852,155554,4323,1607
2021-01-18,304852,155554,4323,1607
2021-01-19,305309,156778,4332,1635
2021-01-20,307568,157588,4394,1635
2021-01-21,309277,158200,4445,1654
2021-01-22,310596,158798,4478,1667
2021-01-23,311964,159320,4486,1668
2021-01-24,312807,159506,4487,1669
2021-01-25,313261,160033,4487,1681
2021-01-26,314061,160592,4492,1688
2021-01-27,315168,161211,4499,1714
2021-01-28,316429,161719,4532,1720
2021-01-29,317381,162354,4577,1725
2021-01-30,318446,162683,4651,1725
2021-01-31,319203,162683,4901,1725
2021-02-01,319495,162683,4906,1725
