Date,UT confirmed,VA confirmed,UT deaths,VA deaths
2021-01-22,333192,463738,1572,5999
2021-01-23,334934,468624,1584,6075
2021-01-24,336451,472406,1597,6078
2021-01-25,337300,478571,1599,6081
2021-01-26,338757,483306,1615,6174
2021-01-27,340717,488539,1621,6228
2021-01-28,342492,493665,1621,6308
2021-01-29,344005,497898,1657,6379
2021-01-30,345479,502221,1665,6449
2021-01-31,346624,504779,1667,6464
2021-02-01,347260,507640,1670,6474
2021-02-02,348460,510380,1688,6517
2021-02-03,350029,513339,1700,6575
2021-02-04,350029,516398,1700,6650
2021-02-05,352503,521467,1731,6732
2021-02-06,353732,526179,1736,6774
2021-02-07,354642,529125,1739,6781
2021-02-08,355137,530827,1741,6823
2021-02-09,356064,534157,1751,6901
2021-02-10,357401,537342,1767,6934
2021-02-11,358532,541040,1777,6964
2021-02-12,359661,544250,1788,6975
2021-02-13,360610,547457,1793,7002
2021-02-14,361294,550016,1796,7020
2021-02-15,361859,551549,1798,7025
2021-02-16,362370,553336,1799,7045
2021-02-17,363284,555714,1807,7085
2021-02-18,364432,558010,1813,7101
2021-02-19,365286,560188,1835,7116
2021-02-20,366050,562102,1843,7211
2021-02-21,366735,564339,1853,7340
2021-02-22,367073,565473,1853,7495
2021-02-23,367789,567224,1865,7666
2021-02-24,367789,569182,1879,7813
2021-02-25,369433,571232,1890,7967
2021-02-26,370084,572867,1908,8202
2021-02-27,370084,574502,1908,8384
2021-02-28,371235,576207,1935,8553
2021-03-01,371492,577311,1940,8784
2021-03-02,371979,578718,1949,8944
2021-03-03,372708,580245,1955,9328
2021-03-04,373319,581560,1966,9361
2021-03-05,373868,583192,1970,9434
2021-03-06,373868,584674,1970,9524
2021-03-07,374850,585815,1976,9601
2021-03-08,375109,586696,1978,9688
2021-03-09,375669,588268,1991,9799
2021-03-10,376327,589534,1993,9861
2021-03-11,376973,590764,2017,9916
2021-03-12,377492,592429,2019,9974
2021-03-13,377492,593863,2019,10001
2021-03-14,377492,595026,2019,10038
2021-03-15,378600,596152,2029,10073
2021-03-16,379081,597497,2034,10121
2021-03-17,379780,598870,2039,10173
2021-03-18,380340,600965,2044,10202
2021-03-19,380787,602600,2060,10210
2021-03-20,380787,602600,2060,10210
2021-03-21,381629,605298,2062,10221
2021-03-22,381788,606361,2064,10227
2021-03-23,382171,607624,2079,10240
2021-03-24,382733,609100,2086,10247
2021-03-25,383260,610637,2095,10250
2021-03-26,383713,612450,2096,10255
2021-03-27,384562,614341,2120,10272
2021-03-28,384562,615723,2120,10287
2021-03-29,384756,616865,2120,10302
2021-03-30,385127,618309,2123,10319
2021-03-31,385641,619366,2127,10327
2021-04-01,386128,621213,2129,10338
2021-04-02,386550,622736,2134,10349
2021-04-03,386997,624259,2135,10355
