Date,PA confirmed,RI confirmed,PA deaths,RI deaths
2021-01-28,824405,106914,21303,2076
2021-01-29,833936,106914,21462,2076
2021-01-30,839239,106914,21602,2076
2021-01-31,843224,106914,21661,2076
2021-02-01,846078,106914,21687,2076
2021-02-02,850488,106914,21812,2076
2021-02-03,853616,110931,21955,2150
2021-02-04,856986,110931,22101,2150
2021-02-05,861674,110931,22239,2150
2021-02-06,865607,110931,22396,2150
2021-02-07,870321,110931,22467,2150
2021-02-08,870321,110931,22501,2150
2021-02-09,876913,110931,22631,2150
2021-02-10,880291,113907,22753,2217
2021-02-11,884269,113907,22865,2217
2021-02-12,888256,113907,22960,2217
2021-02-13,892344,113907,22960,2217
2021-02-14,894917,113907,23096,2217
2021-02-15,896876,113907,23119,2217
2021-02-16,899240,113907,23126,2217
2021-02-17,902650,116351,23319,2311
2021-02-18,906000,116351,23414,2311
2021-02-19,908780,116351,23483,2311
2021-02-20,911593,116351,23571,2311
2021-02-21,913501,116351,23598,2311
2021-02-22,915020,116351,23615,2311
2021-02-23,915020,116351,23615,2311
2021-02-24,920634,118421,23789,2448
2021-02-25,922992,118421,23869,2448
2021-02-26,926336,118421,23941,2448
2021-02-27,929697,118421,23941,2448
2021-02-28,931665,118421,24024,2448
2021-03-01,933287,118421,24029,2448
2021-03-02,935854,118421,24103,2448
2021-03-03,938419,120820,24171,2503
2021-03-04,941447,120820,24223,2503
2021-03-05,944206,120820,24267,2503
2021-03-06,946988,120820,24322,2503
2021-03-07,948724,120820,24354,2503
2021-03-08,950174,120820,24360,2503
2021-03-09,953167,120820,24398,2503
2021-03-10,955761,123087,24441,2536
2021-03-11,958413,123087,24492,2536
2021-03-12,961483,123087,24532,2536
2021-03-13,964320,123087,24575,2536
2021-03-14,966237,123087,24588,2536
2021-03-15,967618,123087,24589,2536
2021-03-16,970730,123087,24654,2536
2021-03-17,973731,125601,24691,2562
2021-03-18,976854,125601,24719,2562
2021-03-19,980303,125601,24753,2562
2021-03-20,984517,125601,24782,2562
2021-03-21,986857,125601,24796,2562
2021-03-22,988436,125601,24797,2562
2021-03-23,991950,125601,24835,2562
2021-03-24,996617,127986,24881,2594
2021-03-25,1000243,127986,24922,2594
2021-03-26,1000243,127986,24922,2594
2021-03-27,1009565,127986,24989,2594
2021-03-28,1012354,135775,25004,2608
2021-03-29,1015271,136419,25018,2613
2021-03-30,1020306,136419,25051,2613
2021-03-31,1024858,136419,25095,2613
2021-04-01,1028750,136419,25122,2613
2021-04-02,1033406,136419,25150,2613
2021-04-03,1038750,138255,25190,2630
