Date,NY confirmed,OH confirmed,NY deaths,OH deaths
2021-03-17,1749697,993681,48883,18523
2021-03-18,1757493,995785,48971,18523
2021-03-19,1765755,997336,49047,18786
2021-03-20,1773378,999750,49047,18786
2021-03-21,1781316,1000076,49196,18787
2021-03-22,1787677,1001284,49169,18787
2021-03-23,1794478,1002838,49185,18817
2021-03-24,1801756,1004678,49442,18817
2021-03-25,1809837,1006176,49516,18817
2021-03-26,1818344,1008917,49574,18913
2021-03-27,1826545,1008917,49619,18913
2021-03-28,1835940,1013119,49623,18913
2021-03-29,1843562,1013829,49861,18913
2021-03-30,1850050,1015733,49909,18973
2021-03-31,1858432,1017620,50003,18973
2021-04-01,1867320,1020064,50086,18973
2021-04-02,1875107,1021730,50162,18999
2021-04-03,1882953,1024018,50201,18999
